tituloPrincipal; tituloOriginal;genero;produtora;anoLancamento;tempoMinutos;notaMedia;numeroVotos
The Adventures of the American Rabbit;The Adventures of the American Rabbit;Animation,Family,Fantasy;Atlantic Releasing Corporation;1986;85;5.3;473
Dot and Santa Claus;Around the World with Dot;Animation,Family,Fantasy;Yoram Gross Films;1981;75;5.9;85
A Fish Tale;Hjælp! Jeg er en fisk;Adventure,Animation,Comedy;TV 2;2000;80;6;6734
Words Bubble Up Like Soda Pop;Cider no yô ni kotoba ga wakiagaru;Animation,Drama,Music;Signal.MD;2020;87;6.8;4146
Toxic Alien Zombie Babes from Outer Space;Toxic Alien Zombie Babes from Outer Space;Action,Animation,Comedy;David Black Productions;2022;126;3.9;19
The Olsen Gang Gets Polished;Olsen-banden på de bonede gulve;Animation,Comedy,Crime;Nordisk Film Denmark;2010;70;4.6;781
Cats & Dogs 3: Paws Unite;Cats & Dogs 3: Paws Unite;Action,Adventure,Animation;Warner Bros. Pictures;2020;84;3.8;986
Caillou Gets Grounded: The Movie;Caillou Gets Grounded: The Movie;Action,Animation,Crime;null;2017;93;7.8;40
Octonauts and the Caves of Sac Actun;Octonauts and the Caves of Sac Actun;Adventure,Animation,Comedy;Silvergate Media;2020;72;6.3;196
Barbie Princess Adventure;Barbie Princess Adventure;Animation,Family,Musical;Mattel Television;2020;72;5.5;520
CartoonMania: The Movie;CartoonMania: The Movie;Action,Animation,Comedy;null;2019;97;5.4;32
As in Heaven, So on Earth;Come in cielo, così in terra;Animation,Mystery,Thriller;La Stanza dei Mostri;2020;93;6.8;34
Snow Snow for Lucy;Snow Snow for Lucy;Animation;null;2008;45;7.7;36
Madagascar 3: Europe's Most Wanted;Madagascar 3: Europe's Most Wanted;Adventure,Animation,Comedy;DreamWorks Animation;2012;95;6.8;182924
The Garden of Sinners: Paradox Spiral;Gekijô ban Kara no kyôkai: Dai go shô - Mujun rasen;Action,Animation,Crime;ufotable;2008;114;8;1874
Der Mondbär;Der Mondbär;Animation,Family;UFA;2008;71;6.1;88
Valentino y el clan del can;Valentino y el clan del can;Animation,Family,Fantasy;null;2006;105;5.1;48
Dead Fury;Dead Fury;Action,Animation,Comedy;null;2008;82;4.1;217
No Dogs or Italians Allowed;Interdit aux chiens et aux italiens;Animation;Les Films du Tambour de soie;2022;70;7.4;64
Sihirli Orman: Peri Kraliçesi;Sihirli Orman: Peri Kraliçesi;Animation;null;2022;80;6.6;6
I skog och mark;I skog och mark;Animation;null;1990;57;5;14
Happy Halloween, Scooby-Doo!;Happy Halloween, Scooby-Doo!;Adventure,Animation,Comedy;Warner Bros. Animation;2020;80;6.2;1669
My Friend Ganesha 2;My Friend Ganesha 2;Animation,Family,Fantasy;null;2008;117;5.2;77
Minoïe;Minoïe;Animation;null;1981;80;4.6;10
Shinchan: Crash! Scribble Kingdom and Almost Four Heroes;Kureyon Shinchan: Gekitotsu Rakugakingudamu to Hobo Shi-Ri no Yusha;Action,Adventure,Animation;Shin-Ei Animation;2020;103;6.5;240
Trollhunters: Rise of the Titans;Trollhunters: Rise of the Titans;Action,Adventure,Animation;Double Dare You Productions;2021;104;6.7;5131
The Immortal Warrior;The Immortal Warrior;Animation;null;2020;80;7.8;14
Cats & Dogs: The Revenge of Kitty Galore;Cats & Dogs: The Revenge of Kitty Galore;Action,Adventure,Animation;Village Roadshow Pictures;2010;82;4.3;15434
Valentina: The Movie;Valentina, la película;Animation,Family,Music;null;2008;75;6.4;31
Deathstroke: Knights & Dragons - The Movie;Deathstroke Knights & Dragons: The Movie;Action,Adventure,Animation;Warner Bros. Animation;2020;87;6.3;3728
Josee, the Tiger and the Fish;Joze to tora to sakanatachi;Animation,Drama,Romance;BONES;2020;99;7.6;5229
VeggieTales: The Princess and the Popstar;VeggieTales: The Princess and the Popstar;Animation,Family,Musical;null;2012;0;6.2;10
John's Arm: Armageddon;John's Arm: Armageddon;Animation;null;2008;118;7.2;24
Gurren Lagann the Movie: Childhood's End;Gekijô ban Tengen toppa guren ragan: Guren hen;Action,Animation,Comedy;GAINAX;2008;112;7.7;1636
Batman: Soul of the Dragon;Batman: Soul of the Dragon;Action,Adventure,Animation;Warner Bros. Animation;2021;83;6;6189
The Clockwork Girl;The Clockwork Girl;Adventure,Animation,Fantasy;null;2014;84;5.2;411
Digimon Adventure 02: Hurricane Touchdown!! The Golden Digimentals;Dejimon adobenchâ 02: Dejimon Hurricane joriku!! Chousetsu shinka!! Ôgon no Dejimentaru;Adventure,Animation,Fantasy;Toei Animation;2000;62;6.5;523
Little Singham: Kaal Ka Badla;Little Singham: Kaal Ka Badla;Action,Animation;null;2020;69;7.4;32
Reality Bleed-Through;Reality Bleed-Through;Animation,Horror,Sci-Fi;null;2008;74;6.9;50
3 al Rescate;3 al Rescate;Adventure,Animation;Antena Latina Films;2011;80;6.8;51
The Pied Piper of Hamlin;The Pied Piper of Hamlin;Animation,Family;null;1992;50;5.5;27
Bigfoot vs the Illuminati;Bigfoot vs the Illuminati;Animation,Horror,Sci-Fi;Ruthless Studios;2020;76;2.9;123
Dave of the Dead;Dave of the Dead;Animation;WOWNow Entertainment;2020;70;3.7;8
Trump vs the Illuminati;Trump vs the Illuminati;Animation;Ruthless Studios;2020;70;2.1;470
Dinosaur Train: Adventure Island;Dinosaur Train: Adventure Island;Adventure,Animation,Family;null;2021;85;7.2;50
Finding Jesus;Finding Jesus;Animation,Family,Fantasy;WOWNow Entertainment;2020;69;1.1;592
Atashin'chi the Movie;Eiga Atashin'chi;Adventure,Animation,Comedy;null;2003;95;6.3;47
Berserk: The Golden Age Arc I - The Egg of the King;Berserk: Ougon Jidai-hen I - Haou no Tamago;Action,Adventure,Animation;Beyond C.;2012;76;7.5;13021
Thomas & Friends: Blue Mountain Mystery;Thomas & Friends: Blue Mountain Mystery;Adventure,Animation,Family;Nitrogen Studios Canada;2012;62;6.4;283
Amma Lo-Fi;Amma Lo-Fi;Animation,Biography,Documentary;null;2011;65;7.2;121
Adventures on the Red Plane;As Aventuras do Avião Vermelho;Adventure,Animation,Comedy;Aleteia Selonk Lisiane Cohen;2014;70;6.8;150
The Good Soldier Shweik;The Good Soldier Shweik;Animation,Comedy,Family;null;2010;77;6.5;133
Minions & More 1;Minions & More 1;Adventure,Animation,Comedy;Illumination;2022;48;6.5;1225
Thomas & Friends: Pop Goes Thomas;Thomas & Friends: Pop Goes Thomas;Animation,Family;Lionsgate;2011;50;5.7;28
Library War: Wings of Revolution;Toshokan sensô - kakumei no tsubasa;Action,Animation,Comedy;Production I.G;2012;105;6.9;111
Mulle Meck bygger;Mulle Meck bygger;Adventure,Animation,Family;null;2003;60;6.1;8
Fairytale Tree the Movie;Sprookjesboom de Film;Adventure,Animation,Family;Efteling B.V.;2012;72;6.4;103
Rio 2096: A Story of Love and Fury;Uma História de Amor e Fúria;Action,Adventure,Animation;Gullane Entretenimento;2013;74;7.1;1768
Saint Seiya: Legend of Sanctuary;Seinto Seiya: Legend of Sanctuary;Action,Animation,Fantasy;Toei Animation;2014;93;5.4;4452
7 Sea Pirates;Selkirk, el verdadero Robinson Crusoe;Adventure,Animation,Family;Maíz Producciones;2012;80;6.2;205
Mugge & hans mærkelige hjerne;Mugge & hans mærkelige hjerne;Animation,Comedy,Family;null;2022;84;5;36
Go There, Don't Know Where;Podi tuda, ne znayu kuda;Animation,Comedy,Family;Soyuzmultfilm;1966;52;7.1;48
Bratz: Desert Jewelz;Bratz: Desert Jewelz;Animation,Family;MGA Entertainment;2012;74;4.8;134
Bob the Builder: Big Dino Dig;Bob the Builder: Big Dino Dig;Animation;HiT Entertainment;2011;63;6.3;30
Lego Hero Factory: Savage Planet;Lego Hero Factory: Savage Planet;Action,Adventure,Animation;Threshold Animation Studios;2011;45;5.7;189
The Cat's Mill;Kakisa dzirnavas;Animation;Dauka;1993;56;7.1;65
Inimey Nangathan;Inimey Nangathan;Animation;null;2007;0;7.2;29
Dace Decklan: Private Eye;Dace Decklan: Private Eye;Action,Adventure,Animation;null;2011;73;5;209
Hatschipuh;Hatschipuh;Adventure,Animation,Family;Checkpoint Film- und Musikproduktion GmbH;1987;95;6.7;184
Spike and Mike's Hilarious Sick and Twisted Festival of Animation;Spike and Mike's Hilarious Sick and Twisted Festival of Animation;Animation,Comedy;Slingshot Entertainment;1997;99;6;109
Efsane Takim: Bilim Kahramanlari;Efsane Takim: Bilim Kahramanlari;Animation;null;2022;0;7.2;12
Sonic Rebuilt;Sonic Rebuilt;Animation,Comedy;null;2020;61;7.4;36
Immigrants (L.A. Dolce Vita);Immigrants (L.A. Dolce Vita);Animation,Comedy;Megafilm;2008;78;5.7;840
The Monkey King 3D: Uproar in Heaven;Da nao tian gong 3D;Action,Adventure,Animation;China Film Group Corporation;2012;90;7.2;24
Moomin and Midsummer Madness;Muumi ja vaarallinen juhannus;Animation,Family,Fantasy;Filmkompaniet;2008;88;5.5;218
Dragon Quest Emblem of Roto;Dragon Quest Emblem of Roto;Animation;null;1996;45;5.6;7
Eureka: Eureka Seven Hi-Evolution;Eureka/Kôkyô Shihen Eureka Seven Hi-Evolution;Animation;BONES;2021;116;6.8;21
Kung Fu Mulan;Kung Fu Mulan;Animation;Gold Valley Films;2020;100;4.5;132
A Whisker Away;Nakitai watashi wa neko o kaburu;Adventure,Animation,Drama;Studio Colorido;2020;104;6.7;10661
Sergeant Keroro the Super Movie 3: Keroro vs. Keroro Great Sky Duel De Arimasu!;Chô Gekijô-ban Keroro gunsô 3: Keroro tai Keroro Tenkû daikessen de arimasu!;Animation,Comedy,Family;SUNRISE;2008;112;6.5;75
After Last Season;After Last Season;Animation,Drama,Sci-Fi;Index Square;2009;93;1.6;8202
The Ogglies;Smelliville;Adventure,Animation,Family;WunderWerk;2021;85;5.1;312
The Greatest Fan Film of All Time;The Greatest Fan Film of All Time;Animation;null;2008;45;6.5;85
Pup;Black to the Moon 3D;Adventure,Animation,Comedy;Art'Mell;2013;81;3.3;359
Fate Grand Order: The Grand Temple of Time;Fate Grand Order: The Grand Temple of Time;Action,Animation,Drama;CloverWorks;2021;94;6.6;233
Burn the Witch;Burn the Witch;Action,Animation,Fantasy;null;2020;63;6.7;952
The Big Fun Carnival;The Big Fun Carnival;Animation,Comedy,Fantasy;null;1957;90;6.3;16
Yang Jian;Yang Jian;Animation;null;2021;137;6.9;11
Kung Fu Masters: Battle of the Zodiac;Kung Fu Masters: Battle of the Zodiac;Animation;null;2020;60;7.8;7
Enchantimals: Spring Into Harvest Hills;Enchantimals: Spring Into Harvest Hills;Action,Adventure,Animation;null;2020;45;6.8;34
One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura;One piece: Episodo obu choppa + Fuyu ni saku, kiseki no sakura;Action,Animation,Comedy;Toei Animation;2008;113;7;1309
The Dolphin: Story of a Dreamer;El delfín: La historia de un soñador;Adventure,Animation,Family;DDG;2009;86;3.4;670
Winx Club: The Secret of the Lost Kingdom;Winx Club: Il segreto del Regno Perduto;Action,Adventure,Animation;EuroVideo Medien GmbH;2007;85;5.4;1292
Thunderbolt Fantasy: Bewitching Melody of the West;Thunderbolt Fantasy: Bewitching Melody of the West;Action,Adventure,Animation;Nitroplus;2019;90;7.6;47
Sergeant Keroro Super Movie 2: The Deep Sea Princess de arimasu!;Chougekijouban Keroro Gunsou 2: Shinkai no purinsesu de arimasu!;Animation,Comedy,Family;SUNRISE;2007;77;6.4;74
Princess of Rome;Princess of Rome;Adventure,Animation,Drama;Beirut International Center;2015;75;6;1444
The Snow Queen 3: Fire and Ice;Snezhnaya koroleva 3. Ogon i led;Adventure,Animation,Comedy;Wizart Animation;2016;89;6;2263
Fantastic Journey to Oz;Urfin Dzhyus i ego derevyannye soldaty;Adventure,Animation,Family;Melnitsa Animation Studio;2017;91;4.7;326
The Magic Mountain;La montagne magique;Animation,Biography,Documentary;Aparte Film;2015;85;6.9;149
Tamayura: Graduation Photo Part 1 - Kizashi;Tamayura: Sotsugyou shasin - Dai-1-bu - Kizashi;Animation,Comedy,Drama;AnimatiC;2015;0;7.5;30
Crayon Shin-chan Movie 23: Ora No Hikkoshi Monogatari - Saboten Daisuugeki;Eiga Kureyon Shinchan: Ora no hikkoshi monogatari - Saboten daishuugeki;Action,Adventure,Animation;TOHO;2015;103;6.6;336
Gegege no Kitarô;Gegege no Kitarô;Animation,Fantasy,Horror;Toei Animation;1968;46;6.2;24
Bad Cat;Kötü Kedi Serafettin;Action,Adventure,Animation;Kare Kare Film;2016;86;7.1;7824
Jake and the Giants;Jake and the Giants;Animation;null;2015;82;7.7;471
Early Man;Early Man;Adventure,Animation,Comedy;Aardman;2018;89;6.1;22426
Battledream Chronicle;Battledream Chronicle;Animation,Sci-Fi;Pagod Films;2015;108;7.3;54
Finding Babel;Finding Babel;Animation,Biography,Documentary;null;2015;88;7.5;29
MFKZ;Mutafukaz;Action,Animation,Comedy;Ankama;2017;94;6.7;4629
Sabogal;Sabogal;Animation,Thriller;null;2015;106;6.2;26
Klaus;Klaus;Adventure,Animation,Comedy;Atresmedia;2019;96;8.1;150446
The Little Vampire 3D;The Little Vampire 3D;Adventure,Animation,Comedy;A. Film Production;2017;83;5.4;1792
Dyrene i Hakkebakkeskogen;Dyrene i Hakkebakkeskogen;Animation,Family,Musical;Qvisten Animation;2016;75;6.8;580
The Wild Life;Robinson Crusoe;Adventure,Animation,Comedy;uFilm;2016;91;5.3;6335
Dofus: Book 1 - Julith;Dofus - Livre 1: Julith;Action,Adventure,Animation;Ankama;2015;100;7.5;691
Iesodo: Believe;Iesodo: Believe;Animation,Family;null;2013;50;4.5;18
The Frogville;The Frogville;Adventure,Animation,Family;null;2014;86;3.8;6
Pettersson und Findus 2 - Das schönste Weihnachten überhaupt;Pettersson und Findus 2 - Das schönste Weihnachten überhaupt;Animation,Comedy,Family;Wild Bunch Germany;2016;80;5.5;367
LokalFilmis;LokalFilmis;Animation,Comedy,Fantasy;Lokal TV;2015;78;5.7;101
Howard Lovecraft and the Frozen Kingdom;Howard Lovecraft and the Frozen Kingdom;Animation,Fantasy;Arcana Studio;2016;83;5.3;2500
In This Corner (and Other Corners) of the World;Kono sekai no katasumi ni;Animation,Drama,Family;GENCO;2016;129;7.7;11315
The Last Fiction;The Last Fiction;Action,Animation,Drama;Hoorakhsh Studios;2018;100;6.9;1768
Doraemon: Nobita no uchuu eiyuuki;Doraemon: Nobita no uchuu eiyuuki;Action,Adventure,Animation;Shin-Ei Animation;2015;100;6.5;697
The Guardian Brothers;Xiao men shen;Animation,Comedy,Family;Light Chaser Animation Studios;2015;103;5.5;2189
Caroline and the Magic Potion;Caroline and the Magic Potion;Animation;Otto Desenhos Animados;2015;79;3.9;84
Back to the Siam;Back to the Siam;Animation,Sci-Fi;null;2013;95;5;16
Robin and the Dreamweavers;Robin and the Dreamweavers;Action,Adventure,Animation;null;2000;75;4.5;28
Woozle & Pip in Search of the Scallywagger!;Woezel & Pip Op zoek naar de Sloddervos!;Animation;Il Luster;2016;70;6.8;84
L.O.R.D: Legend of Ravaging Dynasties;Jue ji;Adventure,Animation,Fantasy;THOUSAND DELIGHT PICTURES;2016;118;5;1255
Lilly and the Magic Pearl;Lilly and the Magic Pearl;Animation;null;2015;0;8.1;22
The SpongeBob Movie: Sponge on the Run;The SpongeBob Movie: Sponge on the Run;Adventure,Animation,Comedy;United Plankton Pictures;2020;91;5.9;18634
Sunshine Barry and the Disco Worms;Disco Ormene;Animation,Comedy,Family;SF Studios;2008;75;4.7;1042
Amazon Jack;Jungledyret Hugo: Fræk, flabet og fri;Animation,Comedy,Family;A Film Estonia;2007;72;4.5;275
Little King Macius;Der kleine König Macius - Der Film;Animation,Family,Fantasy;null;2007;83;6.4;61
Wild Kratts Alaska: Hero's Journey;Wild Kratts Alaska: Hero's Journey;Animation;null;2017;48;7;14
The Last Page of Summer;The Last Page of Summer;Adventure,Animation,Comedy;null;2020;0;8.3;11
Noah;Noah;Animation;null;2012;137;4.4;282
Go Fish;Go Fish;Adventure,Animation;null;2019;75;4.7;296
Aquarion Movie: Ippatsu Gyakuten-hen;Aquarion Movie: Ippatsu Gyakuten-hen;Action,Animation,Drama;null;2007;116;6.3;30
Sokhrani moyu rech navsegda;Sokhrani moyu rech navsegda;Animation,Documentary;null;2015;84;7.8;24
The World of Topo Gigio;Le avventure di topo Gigio;Animation,Family,Fantasy;null;1961;75;5.5;60
Go to Hell!!;Go to Hell!!;Animation,Comedy,History;Ray Nowland Productions;1997;73;7;75
Cat City;Macskafogó;Adventure,Animation,Comedy;Infafilm;1986;96;8.3;10110
Bugs Bunny Cartoon Revue;Bugs Bunny Cartoon Revue;Animation,Comedy,Family;null;1953;0;7.3;56
Kirikou and the Sorceress;Kirikou et la sorcière;Adventure,Animation,Family;Les Armateurs;1998;71;7.5;9968
Osmosis Jones;Osmosis Jones;Action,Adventure,Animation;Conundrum Entertainment;2001;95;6.3;36576
Tobias and His Lion;Tobias Totz und sein Löwe;Animation;Rothkirch Cartoon Film;1999;72;6.4;137
Werner - Volles Rooäää!!!;Werner - Volles Rooäää!!!;Action,Animation,Comedy;Hahn Film;1999;77;5.3;2682
Galaxy Express 999: To the Center of the Universe!;Ginga tetsudô Three-Nine: Fumetsu no kûkan kidô;Animation,Sci-Fi;null;2000;0;6.2;28
Hundhotellet;Hundhotellet;Animation,Comedy,Crime;Zentropa Entertainments;2000;68;6.8;542
The Bloody Lady;Krvavá pani;Animation,Drama,History;null;1980;72;6.4;97
Moon Madness;Le secret des sélénites;Animation,Comedy,Family;films jean image;1983;76;6.6;114
Rurouni Kenshin: Requiem for the Ishin Patriots;Rurôni Kenshin: Ishin shishi e no Requiem;Action,Animation,Drama;Studio Deen;1997;90;7.3;2766
Adieu, Galaxy Express 999: Last Stop Andromeda;Sayônara, ginga tetsudô Surî-Nain: Andromeda shûchakueki;Action,Animation,Drama;Toei Animation;1981;135;7.1;543
Firebird: Karma Chapter;Hi no tori: Hôô-hen;Animation,Fantasy;Tezuka Productions;1986;60;7.1;123
Time Stranger;Toki no Tabibito;Animation,Fantasy;Project Team Argos;1986;91;6.3;124
Like the Clouds, Like the Wind;Kumo no yôni, kaze no yôni;Animation,Comedy,Drama;YOMIKO Advertising;1990;79;6.5;397
Neo Tokyo;Meikyû monogatari;Adventure,Animation,Fantasy;Project Team Argos;1987;50;7.1;3768
Pinocchio in Outer Space;Pinocchio in Outer Space;Adventure,Animation,Family;Belvision;1965;71;5.7;279
Yuki;Yuki;Adventure,Animation,Family;Nikkatsu Children's Films Inc.;1981;89;7.4;75
Joë petit boum-boum;Joë petit boum-boum;Adventure,Animation,Family;films jean image;1973;60;7.1;30
Povestea porcului;Povestea porcului;Animation;null;1985;0;6.6;23
Space Bear and the Love Bomb;Space Bear and the Love Bomb;Animation;Strange Planet Productions;2018;90;3;23
Laidbackers;Laidbackers;Animation,Comedy,Fantasy;Studio Gokumi;2019;60;6.8;60
The Wishmas Tree;The Wishmas Tree;Animation;Like A Photon Creative;2019;90;4.9;251
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson;Eiga Kono subarashii sekai ni shukufuku o!: Kurenai densetsu;Action,Adventure,Animation;J.C.STAFF;2019;90;7.9;4151
Penguin League;Penguin League;Animation;Uncork'd Entertainment;2019;74;2.5;127
Groundhog Dave;Groundhog Dave;Animation;WOWNow Entertainment;2019;70;6.6;70
Pixy Dragons;Pixy Dragons;Animation;null;2019;72;2.2;155
Pixi Saves Christmas;Pixi Saves Christmas;Animation,Family;null;2018;91;4.7;27
Eureka Seven Hi-Evolution: Anemone;Eureka Seven Hi-Evolution 2;Action,Animation,Sci-Fi;BONES;2018;95;7.6;68
Zoku Owarimonogatari;Zoku Owarimonogatari;Animation,Fantasy;SHAFT;2018;148;8;835
Pat a Mat: Zimní radovánky;Pat a Mat: Zimní radovánky;Animation,Family;Patmat film;2018;60;7.2;71
The Sword in the Stone;The Sword in the Stone;Adventure,Animation,Comedy;Walt Disney Productions;1963;79;7.1;99316
Little Prince and the Eight Headed Dragon;Wanpaku ôji no orochi taiji;Adventure,Animation,Family;Toei Animation;1963;86;7.2;232
The Incredible Mr. Limpet;The Incredible Mr. Limpet;Animation,Comedy,Family;Warner Bros. Pictures;1964;99;6.5;5528
Doggie March;Wan wan chûshingura;Adventure,Animation,Comedy;Toei Animation;1963;82;6.5;93
Gulliver's Space Travels: Beyond the Moon;Garibaa no uchû ryokô;Adventure,Animation,Fantasy;null;1965;80;6.2;175
The Man from Button Willow;The Man from Button Willow;Adventure,Animation,Family;United Screen Arts;1965;81;5.4;148
Havoc in Heaven;Da nao tian gong;Action,Adventure,Animation;Shanghai Animation Film Studio;1963;114;8.1;2120
The Daydreamer;The Daydreamer;Adventure,Animation,Drama;Rankin/Bass Productions;1966;101;6.1;413
Bhoot and Friends;Bhoot and Friends;Action,Adventure,Animation;null;2010;133;5.2;147
Me and My Winter Games;Wo men de dong ao;Animation,Sport;null;2022;90;5.5;25
Broken Blade: Edge of the Line of Death;Gekijouban Bureiku bureido Daigoshou: Shisen no hate;Action,Animation,Fantasy;Production I.G;2011;47;7.5;234
Hello Jadoo: The Secret of Jeju Island;Hello Jadoo: The Secret of Jeju Island;Adventure,Animation,Comedy;CJ ENM;2022;90;8.1;293
Niko: Journey to Magika;Niko: Journey to Magika;Adventure,Animation;null;2014;100;7.8;99
Ernest & Celestine;Ernest et Célestine;Adventure,Animation,Comedy;Les Armateurs;2012;80;7.8;20745
Phineas and Ferb the Movie: Candace Against the Universe;Phineas and Ferb the Movie: Candace Against the Universe;Adventure,Animation,Comedy;Disney Television Animation;2020;86;7.1;4675
Eetu ja Konna;Eetu ja Konna;Animation,Family;Artia;2011;86;4.7;21
The Congress;The Congress;Animation,Drama,Sci-Fi;Entre Chien et Loup;2013;122;6.4;18939
The Nut Job;The Nut Job;Adventure,Animation,Comedy;Open Road Films;2014;85;5.7;28885
Top Cat;Don gato y su pandilla;Action,Animation,Comedy;Illusion Studios;2011;90;4.6;1859
Jock the Hero Dog;Jock;Adventure,Animation,Comedy;null;2011;89;4.4;617
Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse;Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse;Action,Adventure,Animation;Warner Bros. Animation;2022;79;5.4;415
Brasil Animado;Brasil Animado;Adventure,Animation,Comedy;Globo Filmes;2011;78;5.7;150
The Black Pharaoh, the Savage and the Princess;Le pharaon, le sauvage et la princesse;Animation,Family;Nord-Ouest Films;2022;83;7;89
Çanakkale Geçilmez;Çanakkale Geçilmez;Animation;null;2008;80;6.3;107
Danguard Ace;Danguard Ace;Animation;null;2010;100;7.1;25
Danguard Ace 2;Danguard Ace 2;Animation;null;2010;100;7.2;16
Adam by Eve: A Live in Animation;Adam by Eve: A live in Animation;Animation,Music;Story;2022;58;6.2;440
Space Pirate Captain Harlock;Space Pirate Captain Harlock;Adventure,Animation,Fantasy;null;2010;100;7;360
Tales of the Night;Les contes de la nuit;Animation,Family,Fantasy;Nord-Ouest Films;2011;84;6.9;1555
Money as Debt;Money as Debt;Animation,Documentary;Lifeboat News;2006;47;8.2;458
Money as Debt II: Promises Unleashed;Money as Debt II: Promises Unleashed;Animation,Documentary;null;2009;77;7.9;152
Danguard Ace 3;Danguard Ace 3;Animation;null;2010;100;7.2;15
Animal Wars;Zverinye voiny;Animation;Odesa Animation Studio;2000;74;6.5;26
Kitaro's Graveyard Gang;Kitaro's Graveyard Gang;Animation;null;2009;90;7.4;16
Vlogger;Vlogger;Animation,Thriller;null;2011;63;5.1;17
Children Who Chase Lost Voices;Hoshi o Ou Kodomo;Adventure,Animation,Drama;CoMix Wave Films;2011;116;7.1;15615
Detective Conan: Quarter of Silence;Meitantei Conan: Chinmoku no kuôtâ;Action,Adventure,Animation;TMS Entertainment;2011;109;6.6;1686
Fist of the North Star: The Shin Saga;Fist of the North Star: The Shin Saga;Action,Animation,Drama;null;2009;0;6.9;22
Mugworth;Mugworth;Animation,Fantasy,Horror;null;2018;70;5.8;12
Kukaracha 3D;Kukaracha 3D;Animation,Comedy,Romance;Touch FX Animation Studio;2011;75;1.4;156
Skopje Remix;Skopje Remixed;Action,Animation,Comedy;Living Pictures;2012;141;6.9;185
Gaiking I;Gaiking I;Animation;Fuji Television Network;2011;120;8.3;37
Gaiking II;Gaiking II;Animation;Toei Animation;2011;120;8.3;23
Gaiking III;Gaiking III;Animation;null;2011;120;7.9;23
The Adventures of Nadja;The Adventures of Nadja;Adventure,Animation,Comedy;null;2011;96;7.5;12
The Adventures of Nadja II;The Adventures of Nadja II;Adventure,Animation,Comedy;null;2011;96;6;18
David Macaulay: Mill Times;David Macaulay: Mill Times;Animation,Documentary,History;Unicorn Projects;2001;0;7.6;12
Die Tigerentenbande - Der Film;Die Tigerentenbande - Der Film;Animation;null;2011;65;8.6;9
Kimchi Warrior 2D Feast of Fury;Kimchi Warrior 2D Feast of Fury;Animation;null;2011;160;3;43
Onigamiden - Legend of the Millennium Dragon;Onigamiden;Adventure,Animation,Family;Pierrot;2011;100;5.6;1217
Hoffmaniada;Hoffmaniada;Animation,Biography,Fantasy;Cinema Fund;2018;78;6.4;97
Camelot: The Legend;Camelot: The Legend;Animation,Musical;Tundra Productions;1998;70;6.5;27
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~;Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi;Action,Adventure,Animation;Shin-Ei Animation;2011;108;7.7;1444
Secret of the Seal;Tottoi;Adventure,Animation,Drama;Nippon Animation;1992;83;7;53
The Adventures of Peanut and Pig;The Adventures of Peanut and Pig;Animation;null;2022;75;5.5;25
Dolphin Boy;Malchik-delfin;Adventure,Animation,Comedy;SkyFrame;2022;90;6.2;361
A Letter to Momo;Momo e no tegami;Adventure,Animation,Comedy;TBS;2011;120;7.2;7662
Jamshid and Khorshid;Jamshid and Khorshid;Adventure,Animation,History;null;2015;83;7.6;9
Main Krishna Hoon;Main Krishna Hoon;Animation,Family,Musical;Eros International;2013;134;5.1;213
Ghost in the Shell S.A.C. Solid State Society 3D;Kôkaku kidôtai S.A.C. Solid State Society 3D;Action,Animation,Fantasy;Production I.G;2011;130;7.5;509
Little Brother, Big Trouble: A Christmas Adventure;Niko 2 - lentäjäveljekset;Adventure,Animation,Comedy;Anima Vitae;2012;79;5.7;1250
Phantom Boy;Phantom Boy;Action,Adventure,Animation;Lunanime;2015;84;6.6;1571
Fireman Sam: The Great Fire of Pontypandy;Fireman Sam: The Great Fire of Pontypandy;Action,Adventure,Animation;Bridge Entertainment Group;2009;60;5.4;128
The Hunting of the Snark;The Hunting of the Snark;Animation;null;2015;65;7.2;485
Turbo;Turbo;Adventure,Animation,Comedy;DreamWorks Animation;2013;96;6.4;98853
Robot Taekwon V: Wooju jakjeon;Robot Taekwon V: Wooju jakjeon;Action,Animation,Sci-Fi;null;1976;67;5.6;23
Janosch: Komm, wir finden einen Schatz;Janosch: Komm, wir finden einen Schatz;Animation;null;2012;75;6.3;63
Nitaboh;Nitaboh: Tsugaru shamisen shiso gaibun;Animation,Drama,Music;WAO World;2004;100;6.9;145
00 - Zero Zero 3D;00 - Zero Zero 3D;Animation;PAV1 FILM;2011;75;5.8;24
Eiga Purikyua ôru sutâzu DX 3: Mirai ni todoke! Sekai o tsunagu nijiiro no hana;Eiga Purikyua ôru sutâzu DX 3: Mirai ni todoke! Sekai o tsunagu nijiiro no hana;Animation;Toei Animation;2011;0;7.7;16
Fat, Bald, Short Man;Gordo, calvo y bajito;Animation,Comedy,Drama;null;2011;91;6.8;150
Broken Blade: Enclave of Lamentations;Gekijouban Bureiku bureido Dairokushou: Doukoku no toride;Action,Animation,Drama;Production I.G;2011;52;7.4;199
